hour,DR-1
h853,0
h854,0
h855,0
h856,0
h857,1
h858,1
h859,1
h860,1
h861,1
h862,1
h863,1
h864,0
h865,0
h866,0
h867,0
h868,0
h869,0
h870,0
h871,0
h872,0
h873,0
h874,0
h875,0
h876,0
h877,0
h878,0
h879,0
h880,0
h881,1
h882,1
h883,1
h884,1
h885,1
h886,1
h887,1
h888,0
h889,0
h890,0
h891,0
h892,0
h893,0
h894,0
h895,0
h896,0
h897,0
h898,0
h899,0
h900,0
h901,0
h902,0
h903,0
h904,0
h905,1
h906,1
h907,1
h908,1
h909,1
h910,1
h911,1
h912,0
h913,0
h914,0
h915,0
h916,0
h917,0
h918,0
h919,0
h920,0
h921,0
h922,0
h923,0
h924,0
h925,0
h926,0
h927,0
h928,0
h929,1
h930,1
h931,1
h932,1
h933,1
h934,1
h935,1
h936,0
h937,0
h938,0
h939,0
h940,0
h941,0
h942,0
h943,0
h944,0
h945,0
h946,0
h947,0
h948,0
h949,0
h950,0
h951,0
h952,0
h953,1
h954,1
h955,1
h956,1
h957,1
h958,1
h959,1
h960,0
h961,0
h962,0
h963,0
h964,0
h965,0
h966,0
h967,0
h968,0
h969,0
h970,0
h971,0
h972,0
h973,0
h974,0
h975,0
h976,0
h977,1
h978,1
h979,1
h980,1
h981,1
h982,1
h983,1
h984,0
h985,0
h986,0
h987,0
h988,0
h989,0
h990,0
h991,0
h992,0
h993,0
h994,0
h995,0
h996,0
h997,0
h998,0
h999,0
h1000,0
h1001,1
h1002,1
h1003,1
h1004,1
h1005,1
h1006,1
h1007,1
h1008,0
h1009,0
h1010,0
h1011,0
h1012,0
h1013,0
h1014,0
h1015,0
h1016,0
h1017,0
h1018,0
h1019,0
h1020,0
h1021,0
h1022,0
h1023,0
h1024,0
h1025,1
h1026,1
h1027,1
h1028,1
h1029,1
h1030,1
h1031,1
h1032,0
h1033,0
h1034,0
h1035,0
h1036,0
h1037,0
h1038,0
h1039,0
h1040,0
h1041,0
h1042,0
h1043,0
h1044,0
h1045,0
h1046,0
h1047,0
h1048,0
h1049,1
h1050,1
h1051,1
h1052,1
h1053,1
h1054,1
h1055,1
h1056,0
h1057,0
h1058,0
h1059,0
h1060,0
h1061,0
h1062,0
h1063,0
h1064,0
h1065,0
h1066,0
h1067,0
h1068,0
h1069,0
h1070,0
h1071,0
h1072,0
h1073,1
h1074,1
h1075,1
h1076,1
h1077,1
h1078,1
h1079,1
h1080,0
h1081,0
h1082,0
h1083,0
h1084,0
h1085,0
h1086,0
h1087,0
h1088,0
h1089,0
h1090,0
h1091,0
h1092,0
h1093,0
h1094,0
h1095,0
h1096,0
h1097,1
h1098,1
h1099,1
h1100,1
h1101,1
h1102,1
h1103,1
h1104,0
h1105,0
h1106,0
h1107,0
h1108,0
h1109,0
h1110,0
h1111,0
h1112,0
h1113,0
h1114,0
h1115,0
h1116,0
h1117,0
h1118,0
h1119,0
h1120,0
h1121,1
h1122,1
h1123,1
h1124,1
h1125,1
h1126,1
h1127,1
h1128,0
h1129,0
h1130,0
h1131,0
h1132,0
h1133,0
h1134,0
h1135,0
h1136,0
h1137,0
h1138,0
h1139,0
h1140,0
h1141,0
h1142,0
h1143,0
h1144,0
h1145,1
h1146,1
h1147,1
h1148,1
h1149,1
h1150,1
h1151,1
h1152,0
h1153,0
h1154,0
h1155,0
h1156,0
h1157,0
h1158,0
h1159,0
h1160,0
h1161,0
h1162,0
h1163,0
h1164,0
h1165,0
h1166,0
h1167,0
h1168,0
h1169,1
h1170,1
h1171,1
h1172,1
h1173,1
h1174,1
h1175,1
h1176,0
h1177,0
h1178,0
h1179,0
h1180,0
h1181,0
h1182,0
h1183,0
h1184,0
h1185,0
h1186,0
h1187,0
h1188,0
h1189,0
h1190,0
h1191,0
h1192,0
h1193,1
h1194,1
h1195,1
h1196,1
h1197,1
h1198,1
h1199,1
h1200,0
h1201,0
h1202,0
h1203,0
h1204,0
h1205,0
h1206,0
h1207,0
h1208,0
h1209,0
h1210,0
h1211,0
h1212,0
h1213,0
h1214,0
h1215,0
h1216,0
h1217,1
h1218,1
h1219,1
h1220,1
h1221,1
h1222,1
h1223,1
h1224,0
h1225,0
h1226,0
h1227,0
h1228,0
h1229,0
h1230,0
h1231,0
h1232,0
h1233,0
h1234,0
h1235,0
h1236,0
h1237,0
h1238,0
h1239,0
h1240,0
h1241,1
h1242,1
h1243,1
h1244,1
h1245,1
h1246,1
h1247,1
h1248,0
h1249,0
h1250,0
h1251,0
h1252,0
h1253,0
h1254,0
h1255,0
h1256,0
h1257,0
h1258,0
h1259,0
h1260,0
h1261,0
h1262,0
h1263,0
h1264,0
h1265,1
h1266,1
h1267,1
h1268,1
h1269,1
h1270,1
h1271,1
h1272,0
h1273,0
h1274,0
h1275,0
h1276,0
h1277,0
h1278,0
h1279,0
h1280,0
h1281,0
h1282,0
h1283,0
h1284,0
h1285,0
h1286,0
h1287,0
h1288,0
h1289,1
h1290,1
h1291,1
h1292,1
h1293,1
h1294,1
h1295,1
h1296,0
h1297,0
h1298,0
h1299,0
h1300,0
h1301,0
h1302,0
h1303,0
h1304,0
h1305,0
h1306,0
h1307,0
h1308,0
h1309,0
h1310,0
h1311,0
h1312,0
h1313,1
h1314,1
h1315,1
h1316,1
h1317,1
h1318,1
h1319,1
h1320,0
h1321,0
h1322,0
h1323,0
h1324,0
h1325,0
h1326,0
h1327,0
h1328,0
h1329,0
h1330,0
h1331,0
h1332,0
h1333,0
h1334,0
h1335,0
h1336,0
h1337,1
h1338,1
h1339,1
h1340,1
h1341,1
h1342,1
h1343,1
h1344,0
h1345,0
h1346,0
h1347,0
h1348,0
h1349,0
h1350,0
h1351,0
h1352,0
h1353,0
h1354,0
h1355,0
h1356,0
h1357,0
h1358,0
h1359,0
h1360,0
h1361,1
h1362,1
h1363,1
h1364,1
h1365,1
h1366,1
h1367,1
h1368,0
h1369,0
h1370,0
h1371,0
h1372,0
h1373,0
h1374,0
h1375,0
h1376,0
h1377,0
h1378,0
h1379,0
h1380,0
h1381,0
h1382,0
h1383,0
h1384,0
h1385,1
h1386,1
h1387,1
h1388,1
h1389,1
h1390,1
h1391,1
h1392,0
h1393,0
h1394,0
h1395,0
h1396,0
h1397,0
h1398,0
h1399,0
h1400,0
h1401,0
h1402,0
h1403,0
h1404,0
h1405,0
h1406,0
h1407,0
h1408,0
h1409,1
h1410,1
h1411,1
h1412,1
h1413,1
h1414,1
h1415,1
h1416,0
h1417,0
h1418,0
h1419,0
h1420,0
h1421,0
h1422,0
h1423,0
h1424,0
h1425,0
h1426,0
h1427,0
h1428,0
h1429,0
h1430,0
h1431,0
h1432,0
h1433,1
h1434,1
h1435,1
h1436,1
h1437,1
h1438,1
h1439,1
h1440,0
h1441,0
h1442,0
h1443,0
h1444,0
h1445,0
h1446,0
h1447,0
h1448,0
h1449,0
h1450,0
h1451,0
h1452,0
h1453,0
h1454,0
h1455,0
h1456,0
h1457,1
h1458,1
h1459,1
h1460,1
h1461,1
h1462,1
h1463,1
h1464,0
h1465,0
h1466,0
h1467,0
h1468,0
h1469,0
h1470,0
h1471,0
h1472,0
h1473,0
h1474,0
h1475,0
h1476,0
h1477,0
h1478,0
h1479,0
h1480,0
h1481,1
h1482,1
h1483,1
h1484,1
h1485,1
h1486,1
h1487,1
h1488,0
h1489,0
h1490,0
h1491,0
h1492,0
h1493,0
h1494,0
h1495,0
h1496,0
h1497,0
h1498,0
h1499,0
h1500,0
h1501,0
h1502,0
h1503,0
h1504,0
h1505,1
h1506,1
h1507,1
h1508,1
h1509,1
h1510,1
h1511,1
h1512,0
h1513,0
h1514,0
h1515,0
h1516,0
h1517,0
h1518,0
h1519,0
h1520,0
h1521,0
h1522,0
h1523,0
h1524,0
h1525,0
h1526,0
h1527,0
h1528,0
h1529,1
h1530,1
h1531,1
h1532,1
h1533,1
h1534,1
h1535,1
h1536,0
h1537,0
h1538,0
h1539,0
h1540,0
h1541,0
h1542,0
h1543,0
h1544,0
h1545,0
h1546,0
h1547,0
h1548,0
h1549,0
h1550,0
h1551,0
h1552,0
h1553,1
h1554,1
h1555,1
h1556,1
h1557,1
h1558,1
h1559,1
h1560,0
h1561,0
h1562,0
h1563,0
h1564,0
h1565,0
h1566,0
h1567,0
h1568,0
h1569,0
h1570,0
h1571,0
h1572,0
h1573,0
h1574,0
h1575,0
h1576,0
h1577,1
h1578,1
h1579,1
h1580,1
h1581,1
h1582,1
h1583,1
h1584,0
h1585,0
h1586,0
h1587,0
h1588,0
h1589,0
h1590,0
h1591,0
h1592,0
h1593,0
h1594,0
h1595,0
h1596,0
h1597,0
h1598,0
h1599,0
h1600,1
h1601,1
h1602,1
h1603,1
h1604,1
h1605,1
h1606,1
h1607,0
h1608,0
h1609,0
h1610,0
h1611,0
h1612,0
h1613,0
h1614,0
h1615,0
h1616,0
h1617,0
h1618,0
h1619,0
h1620,0
h1621,0
h1622,0
h1623,0
h1624,1
h1625,1
h1626,1
h1627,1
h1628,1
h1629,1
h1630,1
h1631,0
h1632,0
h1633,0
h1634,0
h1635,0
h1636,0
h1637,0
h1638,0
h1639,0
h1640,0
