hour,DR-1
h639,1
h640,1
h641,1
h642,0
h643,0
h644,0
h645,0
h646,0
h647,0
h648,0
h649,0
h650,0
h651,0
h652,0
h653,0
h654,0
h655,0
h656,0
h657,0
h658,1
h659,1
h660,1
h661,1
h662,1
h663,1
h664,1
h665,1
h666,0
h667,0
h668,0
h669,0
h670,0
h671,0
h672,0
h673,0
h674,0
h675,0
h676,0
h677,0
h678,0
h679,0
h680,0
h681,0
h682,1
h683,1
h684,1
h685,1
h686,1
h687,1
h688,1
h689,1
h690,0
h691,0
h692,0
h693,0
h694,0
h695,0
h696,0
h697,0
h698,0
h699,0
h700,0
h701,0
h702,0
h703,0
h704,0
h705,0
h706,1
h707,1
h708,1
h709,1
h710,1
h711,1
h712,1
h713,1
h714,0
h715,0
h716,0
h717,0
h718,0
h719,0
h720,0
h721,0
h722,0
h723,0
h724,0
h725,0
h726,0
h727,0
h728,0
h729,0
h730,1
h731,1
h732,1
h733,1
h734,1
h735,1
h736,1
h737,1
h738,0
h739,0
h740,0
h741,0
h742,0
h743,0
h744,0
h745,0
h746,0
h747,0
h748,0
h749,0
h750,0
h751,0
h752,0
h753,0
h754,1
h755,1
h756,1
h757,1
h758,1
h759,1
h760,1
h761,1
h762,0
h763,0
h764,0
h765,0
h766,0
h767,0
h768,0
h769,0
h770,0
h771,0
h772,0
h773,0
h774,0
h775,0
h776,0
h777,0
h778,1
h779,1
h780,1
h781,1
h782,1
h783,1
h784,1
h785,1
h786,0
h787,0
h788,0
h789,0
h790,0
h791,0
h792,0
h793,0
h794,0
h795,0
h796,0
h797,0
h798,0
h799,0
h800,0
h801,0
h802,1
h803,1
h804,1
h805,1
h806,1
h807,1
h808,1
h809,1
h810,0
h811,0
h812,0
h813,0
h814,0
h815,0
h816,0
h817,0
h818,0
h819,0
h820,0
h821,0
h822,0
h823,0
h824,0
h825,0
h826,1
h827,1
h828,1
h829,1
h830,1
h831,1
h832,1
h833,1
h834,0
h835,0
h836,0
h837,0
h838,0
h839,0
h840,0
h841,0
h842,0
h843,0
h844,0
h845,0
h846,0
h847,0
h848,0
h849,0
h850,1
h851,1
h852,1
h853,1
h854,1
h855,1
h856,1
h857,1
h858,0
h859,0
h860,0
h861,0
h862,0
h863,0
h864,0
h865,0
h866,0
h867,0
h868,0
h869,0
h870,0
h871,0
h872,0
h873,0
h874,1
h875,1
h876,1
h877,1
h878,1
h879,1
h880,1
h881,1
h882,0
h883,0
h884,0
h885,0
h886,0
h887,0
h888,0
h889,0
h890,0
h891,0
h892,0
h893,0
h894,0
h895,0
h896,0
h897,0
h898,1
h899,1
h900,1
h901,1
h902,1
h903,1
h904,1
h905,1
h906,0
h907,0
h908,0
h909,0
h910,0
h911,0
h912,0
h913,0
h914,0
h915,0
h916,0
h917,0
h918,0
h919,0
h920,0
h921,0
h922,1
h923,1
h924,1
h925,1
h926,1
h927,1
h928,1
h929,1
h930,0
h931,0
h932,0
h933,0
h934,0
h935,0
h936,0
h937,0
h938,0
h939,0
h940,0
h941,0
h942,0
h943,0
h944,0
h945,0
h946,1
h947,1
h948,1
h949,1
h950,1
h951,1
h952,1
h953,1
h954,0
h955,0
h956,0
h957,0
h958,0
h959,0
h960,0
h961,0
h962,0
h963,0
h964,0
h965,0
h966,0
h967,0
h968,0
h969,0
h970,1
h971,1
h972,1
h973,1
h974,1
h975,1
h976,1
h977,1
h978,0
h979,0
h980,0
h981,0
h982,0
h983,0
h984,0
h985,0
h986,0
h987,0
h988,0
h989,0
h990,0
h991,0
h992,0
h993,0
h994,1
h995,1
h996,1
h997,1
h998,1
h999,1
h1000,1
h1001,1
h1002,0
h1003,0
h1004,0
h1005,0
h1006,0
h1007,0
h1008,0
h1009,0
h1010,0
h1011,0
h1012,0
h1013,0
h1014,0
h1015,0
h1016,0
h1017,0
h1018,1
h1019,1
h1020,1
h1021,1
h1022,1
h1023,1
h1024,1
h1025,1
h1026,0
h1027,0
h1028,0
h1029,0
h1030,0
h1031,0
h1032,0
h1033,0
h1034,0
h1035,0
h1036,0
h1037,0
h1038,0
h1039,0
h1040,0
h1041,0
h1042,1
h1043,1
h1044,1
h1045,1
h1046,1
h1047,1
h1048,1
h1049,1
h1050,0
h1051,0
h1052,0
h1053,0
h1054,0
h1055,0
h1056,0
h1057,0
h1058,0
h1059,0
h1060,0
h1061,0
h1062,0
h1063,0
h1064,0
h1065,0
h1066,1
h1067,1
h1068,1
h1069,1
h1070,1
h1071,1
h1072,1
h1073,1
h1074,0
h1075,0
h1076,0
h1077,0
h1078,0
h1079,0
h1080,0
h1081,0
h1082,0
h1083,0
h1084,0
h1085,0
h1086,0
h1087,0
h1088,0
h1089,0
h1090,1
h1091,1
h1092,1
h1093,1
h1094,1
h1095,1
h1096,1
h1097,1
h1098,0
h1099,0
h1100,0
h1101,0
h1102,0
h1103,0
h1104,0
h1105,0
h1106,0
h1107,0
h1108,0
h1109,0
h1110,0
h1111,0
h1112,0
h1113,0
h1114,1
h1115,1
h1116,1
h1117,1
h1118,1
h1119,1
h1120,1
h1121,1
h1122,0
h1123,0
h1124,0
h1125,0
h1126,0
h1127,0
h1128,0
h1129,0
h1130,0
h1131,0
h1132,0
h1133,0
h1134,0
h1135,0
h1136,0
h1137,0
h1138,1
h1139,1
h1140,1
h1141,1
h1142,1
h1143,1
h1144,1
h1145,1
h1146,0
h1147,0
h1148,0
h1149,0
h1150,0
h1151,0
h1152,0
h1153,0
h1154,0
h1155,0
h1156,0
h1157,0
h1158,0
h1159,0
h1160,0
h1161,0
h1162,1
h1163,1
h1164,1
h1165,1
h1166,1
h1167,1
h1168,1
h1169,1
h1170,0
h1171,0
h1172,0
h1173,0
h1174,0
h1175,0
h1176,0
h1177,0
h1178,0
h1179,0
h1180,0
h1181,0
h1182,0
h1183,0
h1184,0
h1185,0
h1186,1
h1187,1
h1188,1
h1189,1
h1190,1
h1191,1
h1192,1
h1193,1
h1194,0
h1195,0
h1196,0
h1197,0
h1198,0
h1199,0
h1200,0
h1201,0
h1202,0
h1203,0
h1204,0
h1205,0
h1206,0
h1207,0
h1208,0
h1209,0
h1210,1
h1211,1
h1212,1
h1213,1
h1214,1
h1215,1
h1216,1
h1217,1
h1218,0
h1219,0
h1220,0
h1221,0
h1222,0
h1223,0
h1224,0
h1225,0
h1226,0
h1227,0
h1228,0
h1229,0
h1230,0
h1231,0
h1232,0
h1233,0
h1234,1
h1235,1
h1236,1
h1237,1
h1238,1
h1239,1
h1240,1
h1241,1
h1242,0
h1243,0
h1244,0
h1245,0
h1246,0
h1247,0
h1248,0
h1249,0
h1250,0
h1251,0
h1252,0
h1253,0
h1254,0
h1255,0
h1256,0
h1257,0
h1258,1
h1259,1
h1260,1
h1261,1
h1262,1
h1263,1
h1264,1
h1265,1
h1266,0
h1267,0
h1268,0
h1269,0
h1270,0
h1271,0
h1272,0
h1273,0
h1274,0
h1275,0
h1276,0
h1277,0
h1278,0
h1279,0
h1280,0
h1281,0
h1282,1
h1283,1
h1284,1
h1285,1
h1286,1
h1287,1
h1288,1
h1289,1
h1290,0
h1291,0
h1292,0
h1293,0
h1294,0
h1295,0
h1296,0
h1297,0
h1298,0
h1299,0
h1300,0
h1301,0
h1302,0
h1303,0
h1304,0
h1305,0
h1306,1
h1307,1
h1308,1
h1309,1
h1310,1
h1311,1
h1312,1
h1313,1
h1314,0
h1315,0
h1316,0
h1317,0
h1318,0
h1319,0
h1320,0
h1321,0
h1322,0
h1323,0
h1324,0
h1325,0
h1326,0
h1327,0
h1328,0
h1329,0
h1330,1
h1331,1
h1332,1
h1333,1
h1334,1
h1335,1
h1336,1
h1337,1
h1338,0
h1339,0
h1340,0
h1341,0
h1342,0
h1343,0
h1344,0
h1345,0
h1346,0
h1347,0
h1348,0
h1349,0
h1350,0
h1351,0
h1352,0
h1353,0
h1354,1
h1355,1
h1356,1
h1357,1
h1358,1
h1359,1
h1360,1
h1361,1
h1362,0
h1363,0
h1364,0
h1365,0
h1366,0
h1367,0
h1368,0
h1369,0
h1370,0
h1371,0
h1372,0
h1373,0
h1374,0
h1375,0
h1376,0
h1377,0
h1378,1
h1379,1
h1380,1
h1381,1
h1382,1
h1383,1
h1384,1
h1385,1
h1386,0
h1387,0
h1388,0
h1389,0
h1390,0
h1391,0
h1392,0
h1393,0
h1394,0
h1395,0
h1396,0
h1397,0
h1398,0
h1399,0
h1400,0
h1401,0
h1402,1
h1403,1
h1404,1
h1405,1
h1406,1
h1407,1
h1408,1
h1409,1
h1410,0
h1411,0
h1412,0
h1413,0
h1414,0
h1415,0
h1416,0
h1417,0
h1418,0
h1419,0
h1420,0
h1421,0
h1422,0
h1423,0
h1424,0
h1425,0
h1426,1
h1427,1
h1428,1
h1429,1
h1430,1
h1431,1
h1432,1
h1433,1
h1434,0
h1435,0
h1436,0
h1437,0
h1438,0
h1439,0
h1440,0
h1441,0
h1442,0
h1443,0
h1444,0
h1445,0
h1446,0
h1447,0
h1448,0
h1449,0
h1450,1
h1451,1
h1452,1
h1453,1
h1454,1
h1455,1
h1456,1
h1457,1
h1458,0
h1459,0
h1460,0
h1461,0
h1462,0
h1463,0
h1464,0
h1465,0
h1466,0
h1467,0
h1468,0
h1469,0
h1470,0
h1471,0
h1472,0
h1473,0
h1474,1
h1475,1
h1476,1
h1477,1
h1478,1
h1479,1
h1480,1
h1481,1
h1482,0
h1483,0
h1484,0
h1485,0
h1486,0
h1487,0
h1488,0
h1489,0
h1490,0
h1491,0
h1492,0
h1493,0
h1494,0
h1495,0
h1496,0
h1497,0
h1498,1
h1499,1
h1500,1
h1501,1
h1502,1
h1503,1
h1504,1
h1505,1
h1506,0
h1507,0
h1508,0
h1509,0
h1510,0
h1511,0
h1512,0
h1513,0
h1514,0
h1515,0
h1516,0
h1517,0
h1518,0
h1519,0
h1520,0
h1521,0
h1522,1
h1523,1
h1524,1
h1525,1
h1526,1
h1527,1
h1528,1
h1529,1
h1530,0
h1531,0
h1532,0
h1533,0
h1534,0
h1535,0
h1536,0
h1537,0
h1538,0
h1539,0
h1540,0
h1541,0
h1542,0
h1543,0
h1544,0
h1545,0
h1546,1
h1547,1
h1548,1
h1549,1
h1550,1
h1551,1
h1552,1
h1553,1
h1554,0
h1555,0
h1556,0
h1557,0
h1558,0
h1559,0
h1560,0
h1561,0
h1562,0
h1563,0
h1564,0
h1565,0
h1566,0
h1567,0
h1568,0
h1569,0
h1570,1
h1571,1
h1572,1
h1573,1
h1574,1
h1575,1
h1576,1
h1577,1
h1578,0
h1579,0
h1580,0
h1581,0
h1582,0
h1583,0
h1584,0
h1585,0
h1586,0
h1587,0
h1588,0
h1589,0
h1590,0
h1591,0
h1592,0
h1593,0
h1594,1
h1595,1
h1596,1
h1597,1
h1598,1
h1599,1
h1600,1
h1601,1
h1602,0
h1603,0
h1604,0
h1605,0
h1606,0
h1607,0
h1608,0
h1609,0
h1610,0
h1611,0
h1612,0
h1613,0
h1614,0
h1615,0
h1616,0
h1617,0
h1618,1
h1619,1
h1620,1
h1621,1
h1622,1
h1623,1
h1624,1
h1625,1
h1626,0
h1627,0
h1628,0
h1629,0
h1630,0
h1631,0
h1632,0
h1633,0
h1634,0
h1635,0
h1636,0
h1637,0
h1638,0
h1639,0
h1640,0
h1641,0
h1642,1
h1643,1
h1644,1
h1645,1
h1646,1
h1647,1
h1648,1
h1649,1
h1650,0
h1651,0
h1652,0
h1653,0
h1654,0
h1655,0
h1656,0
h1657,0
h1658,0
h1659,0
h1660,0
h1661,0
h1662,0
h1663,0
h1664,0
h1665,0
h1666,1
h1667,1
h1668,1
h1669,1
h1670,1
h1671,1
h1672,1
h1673,1
h1674,0
h1675,0
h1676,0
h1677,0
h1678,0
h1679,0
h1680,0
h1681,0
h1682,0
h1683,0
h1684,0
h1685,0
h1686,0
h1687,0
h1688,0
h1689,0
h1690,1
h1691,1
h1692,1
h1693,1
h1694,1
h1695,1
h1696,1
h1697,1
h1698,0
h1699,0
h1700,0
h1701,0
h1702,0
h1703,0
h1704,0
h1705,0
h1706,0
h1707,0
h1708,0
h1709,0
h1710,0
