SOLAR-7,SOLAR-13,SOLAR-11,SOLAR-2,SOLAR-5,SOLAR-15,SOLAR-12,SOLAR-6,SOLAR-1,SOLAR-9,SOLAR-8,SOLAR-16,SOLAR-17,SOLAR-14,SOLAR-10,SOLAR-3,SOLAR-4,SOLAR-18,time_CST
0.8377777777777777,0.8202247191011236,0.8202247191011236,0.7934904601571268,0.793416572077185,0.8377777777777777,0.793416572077185,0.793416572077185,0.793416572077185,0.8377777777777777,0.793416572077185,0.7899999999999999,0.793416572077185,0.7966666666666666,0.793416572077185,0.793416572077185,0.7934904601571268,0.7822222222222222,2016-02-01T14:00:00Z
0.7822222222222222,0.7370786516853933,0.7370786516853933,0.6924803591470258,0.695800227014756,0.7822222222222222,0.695800227014756,0.695800227014756,0.695800227014756,0.7822222222222222,0.695800227014756,0.6822222222222222,0.695800227014756,0.6988888888888889,0.695800227014756,0.695800227014756,0.6924803591470258,0.6633333333333333,2016-02-01T15:00:00Z
0.6633333333333333,0.5797752808988764,0.5797752808988764,0.48260381593714924,0.5085130533484676,0.6633333333333333,0.5085130533484676,0.5085130533484676,0.5085130533484676,0.6633333333333333,0.5085130533484676,0.41,0.5085130533484676,0.51,0.5085130533484676,0.5085130533484676,0.48260381593714924,0.4311111111111111,2016-02-01T16:00:00Z
0.37222222222222223,0.24494382022471908,0.24494382022471908,0.11447811447811447,0.1532349602724177,0.37222222222222223,0.1532349602724177,0.1532349602724177,0.1532349602724177,0.37222222222222223,0.1532349602724177,0.041111111111111105,0.1532349602724177,0.1288888888888889,0.1532349602724177,0.1532349602724177,0.11447811447811447,0.08333333333333333,2016-02-01T17:00:00Z
0.0022222222222222222,0,0,0,0,0.0022222222222222222,0,0,0,0.0022222222222222222,0,0,0,0,0,0,0,0,2016-02-01T18:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-01T19:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-01T20:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-01T21:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-01T22:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-01T23:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-02T00:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-02T01:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-02T02:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-02T03:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-02T04:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-02T05:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-02T06:00:00Z
0.02777777777777778,0.18426966292134833,0.18426966292134833,0.27946127946127947,0.30533484676503975,0.02777777777777778,0.30533484676503975,0.30533484676503975,0.30533484676503975,0.02777777777777778,0.30533484676503975,0.3111111111111111,0.30533484676503975,0.09888888888888889,0.30533484676503975,0.30533484676503975,0.27946127946127947,0.2033333333333333,2016-02-02T07:00:00Z
0.7555555555555555,0.7314606741573034,0.7314606741573034,0.7912457912457912,0.7582292849035188,0.7555555555555555,0.7582292849035188,0.7582292849035188,0.7582292849035188,0.7555555555555555,0.7582292849035188,0.8377777777777777,0.7582292849035188,0.7155555555555556,0.7582292849035188,0.7582292849035188,0.7912457912457912,0.7444444444444445,2016-02-02T08:00:00Z
0.9166666666666666,0.8629213483146068,0.8629213483146068,0.898989898989899,0.8762769580022701,0.9166666666666666,0.8762769580022701,0.8762769580022701,0.8762769580022701,0.9166666666666666,0.8762769580022701,0.931111111111111,0.8762769580022701,0.8722222222222222,0.8762769580022701,0.8762769580022701,0.898989898989899,0.87,2016-02-02T09:00:00Z
